document,meanSentenceLength,meanWordSyllables,Flesch.Kincaid,Flesch,Dale.Chall,Bormuth.GP
24707641,18.388059701492537,1.4886363636363635,9.147252374491181,62.23248303934872,32.95996607869742,89845650.50091189
1358122,32.714285714285715,1.3825327510917031,13.482457891453528,56.66772925764192,23.837623206487837,564708096.5862277
1242892,24.83981612446959,1.3718308255156804,10.28513202962817,65.56569879503684,30.9336545521663,244917190.10846305
860228,13.181443298969072,1.2551227905521665,4.361211815113503,87.27244697083312,44.20560187124771,27050578.197051253
4900336,13.840257460503219,1.343381389252949,5.659600802781053,79.13707314678976,40.60969472362216,35334291.74919872
691599,20.150943396226417,1.3941947565543071,8.720366051869124,68.43291604833584,32.19439774574236,121747124.22160377
4605285,20.85185185185185,1.3232682060390764,8.156787053483324,73.72188013946455,39.8253660943359,133489179.66996393
2290280,17.504373177842567,1.305185431934266,6.637893636182941,78.64937368285091,42.89244664230973,74894207.84375295
25336318,20.666666666666668,1.3076463560334528,7.900227001194747,75.23145161290324,37.87918757467145,128767363.23017572
5608054,13.957669549385527,1.3452144138268385,5.7270212074170495,78.86282599762316,40.30431317968316,37232898.47689421
19221487,13.354545454545455,1.3485364193328795,5.531002475400708,79.19395528807476,38.68257262206821,29039508.209578298
27394594,19.49397590361446,1.4108776266996292,8.661006597465263,67.68836723904273,31.901443400300835,108435120.4330391
3191075,10.474737845567207,1.3443756825627957,4.358780814012203,82.46895834193678,42.89592924840792,12744180.053144483
3580401,18.498933901918978,1.3172256800368833,7.1678472461836265,76.62128955843194,38.41495126005027,96865343.9049463
21945031,16.878048780487806,1.4234104046242775,7.788681798956716,69.28326025659102,34.507325532214864,66424347.153074875
1181376,13.20125786163522,1.3956646021915198,6.02733287189767,75.3624979250377,38.43925022697242,28212268.32827113
271288,18.698019801980198,1.4426793751654752,8.725844349724888,65.80583476199092,32.71208092493126,95520490.89500478
1240309,16.86739327883742,1.3520542781756502,6.942523861219268,75.33080388832003,38.285340469849594,72085534.72776107
4317696,17.391441700172315,1.3167346466965009,6.7301310940859125,77.78693556380114,37.84332547557242,85898437.27266182
2052933,13.64516129032258,1.4160756501182032,6.441305574620607,73.18516129032261,39.53755738580035,31986212.8462925
18052205,13.632352941176471,1.4099244875943906,6.363726600672631,73.71855011422045,37.171885747826636,31735490.350189254
4405106,19.102564102564102,1.399633923123856,8.3756802928615,69.03686753961925,33.88268409442907,102476210.29815856
17227166,26.701214095350903,1.3468670289453255,10.716504438741698,65.78831704444431,32.57200346307336,307952483.0921567
13538139,15.575757575757576,1.3623540856031129,6.560323664662189,75.77045041858273,39.57568447117086,50263714.787589535
14067216,13.039899768696992,1.3471049947524796,5.391399847871089,79.63441917871279,43.09710190708248,33858848.71214405
315188,15.099236641221374,1.3503538928210312,6.232878225364509,77.26933547650107,40.133599518366154,44645903.984428674
340182,20.931818181818183,1.4429967426710097,9.60077065442701,63.511680115487124,29.494613315566085,138736932.1816534
1118234,21.559633027522935,1.293191489361702,8.077916455202033,75.54797247706423,34.32810853015811,148044740.54063424
23107804,16.78,1.4195470798569725,7.704855542312277,69.70961704410014,37.475435280095354,64695298.72625766
3496847,12.621819338422393,1.3144419524733513,4.84292458117028,82.82206419225577,45.14289637384863,27372996.308182962
3728128,18.64864864864865,1.401449275362319,8.220074422248334,69.34401292596947,34.05996866431649,94340985.89444204
4474799,13.585929648241207,1.3158381417369434,5.2354026353100025,81.72537461608978,41.343418263086406,33450364.98996292
14588664,18.8,1.2999459069599713,7.081361702127662,77.77757627118646,34.592280562567616,94776208.41851886
1159200,12.81359223300971,1.349598424003637,5.332562374116705,79.65317721278748,41.060020561122585,26766040.959254153
17154071,27.653846153846153,1.4401947148817802,12.189297635605008,56.925873274847575,25.49603669626618,337948703.04969436
7073860,9.236024844720497,1.285137861466039,3.1766764547402566,88.73777170258181,46.510801229705066,6742463.784506123
16066925,16.93844696969697,1.4277408173533852,7.863335962951762,68.85560317766122,35.51871075902001,69921846.21339877
3592953,14.833765010595714,1.3617676471055096,6.264026589977345,76.57318556911926,40.325758667395704,48620784.09298535
1885197,20.846846846846848,1.4101123595505618,9.179596112966902,66.37994483247293,28.349469971267723,133578608.39070542
1181885,21.09375,1.3377777777777777,8.422340277777781,72.24884375000002,37.904571759259255,138814266.86496058
5392487,14.693585602215045,1.411105178857448,6.791539495381755,72.54151248241166,33.09723825192396,48776225.33209216
3932752,18.287128712871286,1.353546291283162,7.513826435161114,73.76354811388016,37.64880051675985,87129628.57083596
192890,16.766666666666666,1.437375745526839,7.910033797216702,68.21484526176276,37.510522862823066,65664278.262987
1872759,13.963855421686747,1.4322691975841242,6.756680145950497,71.49171263137104,36.45510369346238,34508842.847313024
961377,15.55766793409379,1.3658655804480653,6.59470434358375,75.4917389409885,38.63017857557712,51135806.68459511
1462291,14.437412587412588,1.3597151921726285,6.085230176727926,77.14912096597187,39.09945774693447,42875765.07165411
3616932,14.8,1.2798092209856915,5.283748807631159,83.5411399046105,44.38617170111287,41115084.743516825
17693948,11.385345997286295,1.3482898343463234,4.760104984228274,81.21355382705546,43.65066590375066,17668476.40165288
1202722,14.779661016949152,1.301605504587156,5.53301275073861,81.71781837972323,38.767630228580316,41084125.420914285
526936,6.785714285714286,1.263157894736842,1.9616917293233094,93.08434210526318,49.31785714285714,1300433.2936125312
2786171,17.210826210826212,1.3898361198477074,7.522288436425171,71.78587565689537,35.175183779784014,74471706.26471959
1972815,18.53489183531054,1.2878710867641798,6.835486639588435,79.06819084691021,42.05447050061865,93299782.0353827
22383760,19.73015873015873,1.410297666934835,8.74627437459296,67.49770626620186,31.967043251733514,112576921.83435263
432797,18.520299145299145,1.3524084222670898,7.591336049418327,73.62314384372559,35.92563737399511,92223837.52315386
3727162,14.363929146537842,1.3651345291479822,6.120519811095949,76.76523075034481,40.339449427005476,38449591.682631925
4941613,25.08674194272041,1.3966049152719198,10.673767357869611,63.21918109613438,30.069643416990466,283156589.9962564
1150880,16.188448566610454,1.3567801244824085,6.733500409870498,75.62012617367867,38.95565084529807,61530004.35688649
4124044,17.575757575757574,1.3810344827586207,7.560752351097182,72.16008881922677,36.639968652037624,76064676.99112047
6111748,17.739002020830096,1.3440126188494064,7.187559690546731,75.1264453941977,38.322810421339454,90691194.55415998
